species,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
OIL SARDINE,265667.0,244992.0,337390.0,155450.0,145083.0,83048.0,87195.0,251257.0,245420.0,241273.0
RIBBON FISHES,177259.0,217100.0,239355.0,193822.0,218736.0,143711.0,141299.0,226554.0,269616.0,229359.0
LESSER SARDINES,,,,,170298.0,215676.0,225529.0,169404.0,136878.0,170228.0
THREADFIN BREAMS,162764.0,170349.0,157773.0,183518.0,153066.0,122835.0,145446.0,198733.0,207232.0,150969.0
OTHER CARANGIDS,77707.0,83602.0,120019.0,126755.0,130439.0,121290.0,160561.0,141149.0,109518.0,112207.0
CROAKERS,155383.0,157793.0,150241.0,135451.0,135750.0,117698.0,101287.0,90045.0,103560.0,110142.0
OTHER PERCHES,95199.0,171061.0,197258.0,108913.0,95718.0,74474.0,88962.0,132414.0,104176.0,99349.0
BOMBAYDUCK,110417.0,144951.0,145115.0,112705.0,117213.0,79178.0,68721.0,55342.0,72806.0,94814.0
SCADS,112131.0,105057.0,108010.0,130284.0,73816.0,85792.0,214444.0,163375.0,123758.0,81612.0
OTHER CLUPEIDS,63644.0,58579.0,67607.0,52784.0,80603.0,65295.0,57377.0,58341.0,65531.0,80844.0
STOLEPHORUS,63382.0,61571.0,64859.0,72792.0,105915.0,59488.0,58501.0,88565.0,67464.0,66944.0
CATFISHES,83354.0,80559.0,88177.0,54168.0,65007.0,57635.0,56015.0,62873.0,62354.0,66869.0
LIZARD FISHES,77838.0,94817.0,57803.0,69936.0,91144.0,73019.0,81982.0,76377.0,61555.0,62665.0
SILVERBELLIES,97663.0,92764.0,89901.0,78261.0,100613.0,60284.0,64922.0,59189.0,44202.0,52465.0
ROCK CODS,43146.0,42781.0,53924.0,51433.0,26508.0,33730.0,49714.0,49010.0,69099.0,51865.0
